Name,Tags,Files,URL,Status,Grade,Left,UIP,Created time,Days ago,Deadline,Orbit,Subject
WIKI: get_next_line,"C, Source, Vidoe, WIKI:PROJ",,https://www.notion.so/get_next_line-59fb1381311b4867b4cfaeec5b94c193,Not Started,," day(s) 0 hour(s) ",,,,,,
"Valgrind, Leaks, утечки, segmentation и тому подобное","Article, C, Makefile, Source, Valgrind",Datebase%20db38d/leak.pdf,,,," day(s) 0 hour(s) ",,,,,,
Глава 5. НИЗКОУРОВНЕВЫЙ ВВОД-ВЫВОД,"Book, C, Source",,https://www.opennet.ru/docs/RUS/zlp/005.html,,," day(s) 0 hour(s) ",,,,,,
make: Nothing to be done for `all',"Makefile, Question, Source",,https://stackoverflow.com/questions/8561640/make-nothing-to-be-done-for-all,,," day(s) 0 hour(s) ",,,,,,
Getting started with makefile,"Article, Makefile, Source",,https://riptutorial.com/makefile,,," day(s) 0 hour(s) ",,,,,,
OpenNet. Глава 2. ПЕРВЫЙ БЛИН,"Book, C, Source",,https://www.opennet.ru/docs/RUS/zlp/002.html#2,,," day(s) 0 hour(s) ",,,,,,
Обучение в школе 21. Лекция Хирьянова про ub и не только,"Article, C, Question, Source",,https://github.com/saugustu42/cool-story,Complited,," day(s) 0 hour(s) ",,,,,,
"Компьютерные сети, учебный курс","Network, Source, Vidoe",,https://www.youtube.com/playlist?list=PLtPJ9lKvJ4oiNMvYbOzCmWy6cRzYAh9B1,,," day(s) 0 hour(s) ",,,,,,
"Основы сетей предачи данных ","BNotes, Network",,,In Progress,," day(s) 0 hour(s) ",,,,,,
Виктор и Наталья Олиферы. Компьютерные сети,"Book, Network, Source",Datebase%20db38d/2_5283052963718236237.pdf,,,," day(s) 0 hour(s) ",,,,,,
Как использовать broadcast?,"Article, Network, Question, Source",,https://qna.habr.com/q/553336,,," day(s) 0 hour(s) ",,,,,,
Zettelkasten: как один немецкий учёный стал невероятно продуктивным,"Article, Productivity, Source, Zettelkasten",,https://habr.com/ru/post/508672/,,," day(s) 0 hour(s) ",,,,,,
Zettelkasten Principles,"Productivity, Zettelkasten",,,Complited,," day(s) 0 hour(s) ",,,,,,
Getting thing done,"BNotes, GTD, Productivity",,,Later,," day(s) 0 hour(s) ",,,,,,
David Allen. Getting Things Done,"Book, GTD, Productivity, Source",Datebase%20db38d/Getting_Things_Done.rtf,,,," day(s) 0 hour(s) ",,,,,,
cube3d,Project,,,Complited,NULL,"-343 day(s) -9.3 hour(s) ",,"February 1, 2021",429,"April 28, 2021 12:00 AM",#2,
miniRT,Project,,,Not Started,NULL,"-343 day(s) -9.3 hour(s) ",,,,"April 28, 2021 12:00 AM",#2,
Exam Rank 02,Project,,,Complited,NULL,"-343 day(s) -9.3 hour(s) ",,,,"April 28, 2021 12:00 AM",#2,
ft_server,Project,,,Complited,NULL,"-343 day(s) -9.3 hour(s) ",,,,"April 28, 2021 12:00 AM",#2,
netwhat,"Network, Project",,,Complited,100,"-433 day(s) -9.3 hour(s) ",,"December 1, 2020 12:00 AM",491,"January 28, 2021 12:00 AM",#1,Datebase%20db38d/en.subject.netwhat.pdf
Libft,"C, Project",,,Complited,115,"-494 day(s) -9.3 hour(s) ",,"October 28, 2020 12:00 AM",525,"November 28, 2020 12:00 AM",#0,Datebase%20db38d/en.subject.libft.pdf
